,sentence,author,char_length
0,lost consciousness realized given drugged wine regained consciousness found lying upon bare floor room peculiar shape suggested portion arc circle lying peripheries two concentric circles narrow end room curved inward wider end outward latter single grated window door openings appeared walls covered silver fabric noticed upon walls ceilings palace jed near lay nur evidently still influence opiate administered us wine looked room arose went window far saw roofs city evidently imprisoned lofty tower rose center palace jed brought room certainly window must fully two hundred feet city pondering seemingly unanswerable problem nur regained consciousness first speak lay looking rueful smile,Edgar Rice Burroughs,693
1,iii cornered iv tavia v pits vi sentenced die vii death viii spider ghasta ix phor tak jhama x flying death xi let fire hot xii cloak invisibility xiii tul axtar s women xiv cannibals ugor xv battle jahar xvi despair xvii find princess fighting man mars foreword jason gridley tarzana discoverer gridley wave belonged credit establishing radio communication pellucidar outer world good fortune much laboratory carrying experiments also recipient confidences fully aware hoped establish communication pellucidar also reaching toward even stupendous accomplishment groping space contact another planet attempt deny present goal ambition radio communication mars gridley constructed simple automatic,Edgar Rice Burroughs,696
2,knew would leave silent jhama slid air slightly astern cruiser looked tavia s face seemed reflect great weariness little lines sadness seen presently spoke dull tone unlike think sanoma tora glad come away time said know said makes difference whether wishes come duty fetch nodded perhaps best said father noble rich understand particularly interested either sanoma tora father pursue conversation knew duty return sanoma tora helium possible interest affair well within sight jahar encountered warships cruiser came meet bore flag truce commanders two boats exchanged words jaharian craft turned led way toward palace tul axtar moved slowly forged ahead plans,Edgar Rice Burroughs,660
3,truce commanders two boats exchanged words jaharian craft turned led way toward palace tul axtar moved slowly forged ahead plans already made jhama clothed invisibility needed escort steered directly wing palace contained womens quarters slowly circled periscope line windows rounded end wing great hall lay tul axtar held court women periscope came opposite windows gorgeous apartment brought ship stop others wished examine slowly moving periscope brought different parts large room ground glass plate saw figures two women instantly recognized one sanoma tora phao upon figure former hung gorgeous trappings jeddara woman loved achieved goal caused pang jealousy searched balance apartment,Edgar Rice Burroughs,692
4,foot strange doubtless unhospitable country ugor said never heard tavia yes said one outlying provinces jahar rich thriving agricultural country fell beneath curse tul axtar s mad ambition manpower population grew enormous proportions ugor could support people cannibalism started began justly eating officials tul axtar sent enforce cruel decrees army dispatched subdue province people numerous conquered army ate warriors time farms ruined seed developed taste human flesh wished till ground set upon bands roving men devoured hundred years feeding upon one another longer populace province wasteland inhabited roving bands searching one another may eat shuddered recital obvious must escape accursed,Edgar Rice Burroughs,702
5,electronic work posted permission copyright holder use distribution must comply paragraphs additional terms imposed copyright holder additional terms linked project license works posted permission copyright holder found beginning work unlink detach remove full project license terms work files containing part work work associated project copy display perform distribute redistribute electronic work part electronic work without prominently displaying sentence set forth paragraph active links immediate access full terms project license may convert distribute work binary compressed marked nonproprietary proprietary form including word processing hypertext form however provide access distribute copies project work format plain vanilla ascii format used official version posted,Edgar Rice Burroughs,780
6,vouchsafed condescending word turned attention dwar conversing must admit piqued yet indeed contumelious treatment accorded fixed determination win goal difficult attainment always seemed desirable fell love sanoma tora daughter commander umak attached long time found difficult suit slightest degree fact even see sanoma tora several months first meeting since found poor well low rank found impossible gain invitation home chanced meet elsewhere long time inaccessible became loved every waking moment time actually occupied performance military duties devoted devising new ever increasingly rash plans possess even madness consider abducting believe eventually gone far way could see time fellow officer fact dwar,Edgar Rice Burroughs,716
7,great arched window far end could see waving foliage trees many countless doors lined corridor either side open ajar corridor forbidden women slaves exception tul axtar foot single ramp leading level watched guard picked men composed exclusively eunuchs tavia assured short shrift made adventurous spirit sought investigate precincts yet man enemy safely within forbidden territory looked attempt determine commence investigation several women emerged one apartments approached along corridor beautiful women young richly trapped light conversation laughter judged unhappy conscience pricked realized mean advantage taking could avoided waited listened hoping might overhear snatch conversation would aid quest sanoma tora learned nothing,Edgar Rice Burroughs,738
8,nur jahar well asked death replied extended manacled hand darkness placed upon one mine sorry friend said man one life replied permitted give good cause complain die woman said die woman helium corrected perhaps shall die together said mean gone messenger came majordomo palace advising make peace ancestors die death short time wonder death like said know replied nur awehushed tones mention imagine must terrible torture imagine asked perhaps replied find men helium know well live know also die said shall hope render good account also said nur shall give satisfaction knowing suffer still wish might know beforehand like might,Edgar Rice Burroughs,630
9,flier found scattered ground fell trace metallic substance remains impressing upon suggests mind possible clue general location city new enemies helium convinced first blow since navy armed guns could easily hold helium mercy indeed cities barsoom outside empire would seize avidity upon instrument would give sack twin cities time deeply concerned increasing number missing ships navy nearly instances ships engaged charting air currents recording atmospheric pressures different parts barsoom far empire recently become apparent vast majority ships never return cruising southern part western hemisphere unhospitable portion planet concerning unfortunately little knowledge owing fact developed trade unfriendly people inhabiting vast domain,Edgar Rice Burroughs,743
10,swung tavia head jhama climb deck cried dear girl quick seize upon fortuitous opportunities trained fighting man pause question swung upward deck agility athlete seized mooring ring drew upward lay flat upon belly reaching assisted strength slender frame unequal task leaders horde reached summit paused momentary confusion saw us climb thin air stand apparently heads hunger urged leaped us clambering upon one another s back shoulders seize us drag us two almost gained deck fought back singlehanded tavia raised hatch leaped controls another foulfaced thing reached deck upon opposite side chance revealed run sword back jhama already rising turned engage,Edgar Rice Burroughs,658
